timestamp,symbol,open,high,low,close,volume
2024-01-02T00:00:00+00:00,SYNTH,100.0000,100.0866,99.9666,100.0347,1210595
2024-01-03T00:00:00+00:00,SYNTH,100.0347,100.5323,99.9350,100.0827,1080201
2024-01-04T00:00:00+00:00,SYNTH,100.0827,100.1175,99.9894,100.0591,1349067
2024-01-05T00:00:00+00:00,SYNTH,100.0591,100.7682,99.8375,100.7348,1304398
2024-01-06T00:00:00+00:00,SYNTH,100.7348,101.4820,100.7222,101.0844,1031896
2024-01-07T00:00:00+00:00,SYNTH,101.0844,102.1094,100.9897,101.6661,1147108
2024-01-08T00:00:00+00:00,SYNTH,101.6661,102.6030,101.5512,102.5289,1074464
2024-01-09T00:00:00+00:00,SYNTH,102.5289,103.6695,102.3542,103.3244,1454356
2024-01-10T00:00:00+00:00,SYNTH,103.3244,103.5125,101.0354,101.3138,1262803
2024-01-11T00:00:00+00:00,SYNTH,101.3138,102.3772,101.0562,102.0041,1300660
2024-01-12T00:00:00+00:00,SYNTH,102.0041,102.1768,101.9691,102.0868,1245590
2024-01-13T00:00:00+00:00,SYNTH,102.0868,102.8692,101.8877,102.7613,1143547
2024-01-14T00:00:00+00:00,SYNTH,102.7613,102.9824,102.2556,102.4000,1149797
2024-01-15T00:00:00+00:00,SYNTH,102.4000,103.1175,102.0971,102.3487,1329662
2024-01-16T00:00:00+00:00,SYNTH,102.3487,103.5714,102.1934,103.1314,1250745
2024-01-17T00:00:00+00:00,SYNTH,103.1314,104.4924,102.6912,104.4629,1159622
2024-01-18T00:00:00+00:00,SYNTH,104.4629,105.8725,104.4524,105.4160,1075971
2024-01-19T00:00:00+00:00,SYNTH,105.4160,105.6448,105.1245,105.3080,1696422
2024-01-20T00:00:00+00:00,SYNTH,105.3080,106.1820,105.1305,105.9882,1249474
2024-01-21T00:00:00+00:00,SYNTH,105.9882,107.1365,105.9659,106.9546,1224790
2024-01-22T00:00:00+00:00,SYNTH,106.9546,107.0489,105.9078,106.4960,1324743
2024-01-23T00:00:00+00:00,SYNTH,106.4960,106.6289,105.7920,106.1721,1005540
2024-01-24T00:00:00+00:00,SYNTH,106.1721,106.6070,105.8266,106.5534,1268006
2024-01-25T00:00:00+00:00,SYNTH,106.5534,107.2708,106.2646,106.9465,1114314
2024-01-26T00:00:00+00:00,SYNTH,106.9465,108.1663,106.3199,108.1566,1107662
2024-01-27T00:00:00+00:00,SYNTH,108.1566,109.7352,107.9891,109.6973,1338534
2024-01-28T00:00:00+00:00,SYNTH,109.6973,110.1978,109.4286,109.7293,1206665
2024-01-29T00:00:00+00:00,SYNTH,109.7293,109.9633,107.6285,107.8083,1164977
2024-01-30T00:00:00+00:00,SYNTH,107.8083,107.8090,106.8730,107.4289,1316530
2024-01-31T00:00:00+00:00,SYNTH,107.4289,107.8678,107.0788,107.2223,1109275
2024-02-01T00:00:00+00:00,SYNTH,107.2223,107.8672,107.1516,107.4670,1362885
2024-02-02T00:00:00+00:00,SYNTH,107.4670,108.3903,106.7309,108.3893,1084252
2024-02-03T00:00:00+00:00,SYNTH,108.3893,110.1651,108.3496,109.7361,1096943
2024-02-04T00:00:00+00:00,SYNTH,109.7361,111.9952,109.4100,111.4332,1177406
2024-02-05T00:00:00+00:00,SYNTH,111.4332,113.2089,111.4158,112.9675,1156494
2024-02-06T00:00:00+00:00,SYNTH,112.9675,113.0337,111.9445,112.0089,1606080
2024-02-07T00:00:00+00:00,SYNTH,112.0089,112.1166,111.1040,111.6294,1118638
2024-02-08T00:00:00+00:00,SYNTH,111.6294,112.3070,111.1444,112.0301,1013244
2024-02-09T00:00:00+00:00,SYNTH,112.0301,112.1839,111.0243,111.1968,1147497
2024-02-10T00:00:00+00:00,SYNTH,111.1968,111.5749,110.7114,110.7406,1209947
2024-02-11T00:00:00+00:00,SYNTH,110.7406,110.9430,110.6114,110.7066,1645838
2024-02-12T00:00:00+00:00,SYNTH,110.7066,110.8049,109.7231,109.7600,1444830
2024-02-13T00:00:00+00:00,SYNTH,109.7600,109.9310,108.3218,108.7118,1153857
2024-02-14T00:00:00+00:00,SYNTH,108.7118,108.8094,105.9956,106.0687,1182403
2024-02-15T00:00:00+00:00,SYNTH,106.0687,106.2620,105.3786,105.6941,1155465
2024-02-16T00:00:00+00:00,SYNTH,105.6941,106.1644,104.2766,104.4185,1013564
2024-02-17T00:00:00+00:00,SYNTH,104.4185,104.5823,102.5492,102.6996,1173261
2024-02-18T00:00:00+00:00,SYNTH,102.6996,103.0123,101.7322,101.9501,1114267
2024-02-19T00:00:00+00:00,SYNTH,101.9501,102.6432,100.3183,100.8819,1208585
2024-02-20T00:00:00+00:00,SYNTH,100.8819,100.9122,99.0074,99.5755,1002571
2024-02-21T00:00:00+00:00,SYNTH,99.5755,101.6447,99.4708,101.5100,1147254
2024-02-22T00:00:00+00:00,SYNTH,101.5100,101.5290,101.0157,101.1014,1060747
2024-02-23T00:00:00+00:00,SYNTH,101.1014,101.7087,99.5006,99.5505,1522871
2024-02-24T00:00:00+00:00,SYNTH,99.5505,99.6378,97.9587,98.8977,1260918
2024-02-25T00:00:00+00:00,SYNTH,98.8977,99.0599,97.7243,97.8630,1208002
2024-02-26T00:00:00+00:00,SYNTH,97.8630,99.0964,97.3926,99.0200,1130508
2024-02-27T00:00:00+00:00,SYNTH,99.0200,100.2909,98.4387,100.1510,1010515
2024-02-28T00:00:00+00:00,SYNTH,100.1510,102.0685,99.9823,101.4215,1092790
2024-02-29T00:00:00+00:00,SYNTH,101.4215,101.6780,100.5532,100.5673,1150959
2024-03-01T00:00:00+00:00,SYNTH,100.5673,101.3301,100.2198,101.1850,1233334
2024-03-02T00:00:00+00:00,SYNTH,101.1850,101.3803,99.7037,100.4002,1099983
